event_id,origin_id,stage,parent_origin_id,time,lat,lon,depth,mag,magnitude_type,rms,gap,n_picks,erh,erz,method
eslv2026ypegbfsv,ohdd20264qkafgk6,hypodd,ohyp2026wprokubz,2023-12-09T16:19:20.530000Z,13.843359,-89.706266,6.795,0.4836,MLc,0.113,206,6,0.0223,0.0279,
eslv2026dofo5mte,ohdd2026yum6exae,hypodd,ohyp2026zpfrjdep,2023-12-11T01:49:39.530000Z,13.861832,-89.793001,4.355,1.8992,MLc,0.332,225,8,0.0291,0.0226,
eslv20265v5t4kom,ohdd2026zhskilru,hypodd,ohyp2026iacnsik7,2023-12-18T12:17:47.899999Z,13.870525,-89.797583,3.799,2.6604,MLc,0.296,316,9,0.0232,0.031,
eslv2026mgyjfsqi,ohdd2026cgftjzyz,hypodd,ohyp2026hds5gvaa,2023-12-18T12:18:26.890000Z,13.878282,-89.809701,1.233,2.0553,MLc,0.394,196,8,0.0283,0.0379,
eslv2026prxrpkoz,ohdd2026rwl4qfzc,hypodd,ohyp20267snmihpt,2023-12-19T07:56:23.320000Z,13.875067,-89.816846,2.582,1.8316,MLc,0.246,263,9,0.0312,0.028,
eslv20265iptbqcv,ohdd2026aehkfwuy,hypodd,ohyp2026b7mnvaog,2023-12-20T01:38:26.140000Z,13.854693,-89.821183,2.307,,,0.248,242,8,0.0262,0.0378,
eslv2026tjsy5i5a,ohdd2026cklpeqtq,hypodd,ohyp2026cdxpgffm,2023-12-20T01:39:42.320000Z,13.854069,-89.822437,1.899,1.6073,MLc,0.224,244,8,0.0301,0.0456,
eslv2026qhhdqp53,ohdd202657hotc4s,hypodd,ohyp2026ypfmrvtj,2023-12-20T01:44:01.740000Z,13.851256,-89.825293,0.911,1.6171,MLc,0.225,244,6,0.0288,0.0559,
eslv2026lf4drtcf,ohdd2026tyjveuvi,hypodd,ohyp20266wkogsqm,2023-12-21T19:23:48.439999Z,13.889876,-89.778312,6.869,1.9544,MLc,0.214,214,6,0.079,0.0693,
eslv20267hulkith,ohdd2026slqyh7uf,hypodd,ohyp2026z57hhi6h,2023-12-23T07:08:04.139999Z,13.866718,-89.8198,4.83,1.3747,MLc,0.074,167,8,0.0323,0.0214,
eslv2026euavwwld,ohdd2026k7r2x65a,hypodd,ohyp2026z5f5ahq2,2023-12-25T15:49:47.850000Z,13.8753,-89.756616,4.85,1.5263,MLc,0.18,209,10,0.0286,0.0216,
eslv202636c3z2g3,ohdd2026avuloppv,hypodd,ohyp20266xlnclgl,2023-12-26T02:29:54.100000Z,13.88448,-89.731356,8.425,0.8107,MLc,0.197,148,8,0.042,0.0352,
eslv20267izxmfs2,ohdd2026wnjpxwme,hypodd,ohyp2026zpdgkwop,2023-12-26T04:39:51.570000Z,13.832981,-89.738241,4.842,0.1643,MLc,0.285,212,6,0.0091,0.0144,
eslv20267ifsylwv,ohdd20262hi7vfud,hypodd,ohyp2026dyg5j7ye,2023-12-28T06:55:37.350000Z,13.922374,-89.721411,5.455,0.6659,MLc,0.065,259,7,0.0103,0.0097,
eslv2026qd535d6w,ohdd20267jxrkfy7,hypodd,ohyp20264oibldwk,2023-12-28T06:57:04.360000Z,13.912589,-89.727889,6.476,0.9383,MLc,0.195,242,11,0.0218,0.0301,
eslv2026gq5bzxpa,ohdd2026s3dztkyn,hypodd,ohyp20266aqk7ixz,2023-12-28T06:58:33.229999Z,13.923294,-89.721794,5.288,0.6323,MLc,0.115,251,8,0.0089,0.008,
